no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,lead_time,avg_price_per_room,booking_status
2,0,1,2,0,0,0,10,2,0,0,0,0,1.7,-1.26,0
2,0,2,3,1,0,0,11,6,0,0,0,1,-0.96,0.03,0
1,0,2,1,0,0,0,2,28,0,0,0,0,-1.01,-1.41,1
2,0,0,2,0,0,0,5,20,0,0,0,0,1.54,-0.18,1
2,0,1,1,1,0,0,4,11,0,0,0,0,-0.44,-0.35,1
2,0,0,2,2,0,0,9,13,0,0,0,1,3.18,0.28,1
2,0,1,3,0,0,0,10,15,0,0,0,1,-0.61,0.05,0
2,0,1,3,0,0,1,12,26,0,0,0,1,-0.02,-0.01,0
3,0,0,4,0,0,0,7,6,0,0,0,1,0.45,-0.27,0
2,0,0,5,0,0,1,10,18,0,0,0,3,-0.49,0.85,0
1,0,1,0,1,0,0,9,11,0,0,0,0,-1.02,-0.64,0
1,0,2,1,0,0,1,4,30,0,0,0,1,-0.6,1.07,0
2,0,2,1,1,0,0,11,26,0,0,0,0,-0.66,-0.55,1
1,0,2,0,0,0,0,11,20,0,0,0,2,0.13,-0.49,1
2,0,0,2,0,0,0,10,20,0,0,0,2,-0.45,-0.35,0
2,0,0,2,2,0,0,6,15,0,0,0,1,2.09,0.28,1
1,0,1,0,0,0,0,10,5,0,0,0,0,-1.02,-0.3,0
2,0,1,3,1,0,0,8,10,0,0,0,1,-1.01,-0.3,0
2,0,2,2,0,0,0,10,30,0,0,0,0,0.18,-1.26,1
2,0,1,0,0,0,0,10,4,0,0,0,0,-0.88,-1.04,0
2,0,2,2,0,0,0,10,30,0,0,0,0,0.18,-1.26,1
1,0,0,1,0,0,0,11,25,0,0,0,0,0.46,-1.2,0
2,0,2,4,0,0,0,3,20,0,0,0,0,-1,-0.64,0
2,0,0,3,0,0,0,10,13,0,0,0,0,-0.57,-0.02,0
2,0,2,1,1,0,0,5,22,0,0,0,1,0.56,-0.35,0
2,0,0,2,0,0,0,4,28,0,0,0,1,0.18,0.26,0
2,0,1,1,0,0,0,9,21,0,0,0,0,-0.29,-1.26,0
1,0,0,2,0,0,1,5,19,0,0,0,0,-1,0.13,1
2,0,0,2,2,0,0,9,17,0,0,0,0,-0.34,-0.73,0
2,0,1,1,0,0,1,9,19,0,0,0,1,-0.99,2.21,0
2,0,2,2,0,0,0,11,13,0,0,0,1,0.28,-0.56,0
2,0,0,1,1,0,0,1,9,0,0,0,1,-1,-1.12,0
2,0,0,2,0,0,0,10,7,0,0,0,0,-0.15,-0.63,0
2,0,0,1,1,1,0,4,27,0,0,0,1,-0.74,0.28,0
1,0,2,1,0,0,0,6,19,0,0,0,0,-0.61,-0.77,1
2,0,0,1,0,0,0,10,17,0,0,0,0,2.49,-1.2,0
2,0,2,3,1,0,0,11,19,0,0,0,0,1.98,-1.3,1
2,0,2,1,0,0,1,7,30,0,0,0,1,1.24,0.49,1
2,0,0,4,0,0,0,11,1,0,0,0,2,-0.25,-0.38,0
2,0,0,2,0,0,0,6,21,0,0,0,1,-0.6,-0.12,0
3,0,2,1,0,0,0,4,10,0,0,0,1,0.14,0.49,0
2,0,1,1,1,0,0,6,27,0,0,0,1,-0.53,-0.24,1
2,0,0,4,0,0,1,11,18,0,0,0,1,-0.36,-1.41,0
2,0,0,3,0,0,0,12,29,0,0,0,0,0.75,-0.95,0
1,0,0,2,0,0,0,11,20,0,0,0,0,-0.63,-1.01,0
2,0,0,1,2,0,0,4,6,0,0,0,0,-0.36,-0.06,0
2,0,0,4,1,0,0,11,1,0,0,0,1,-0.33,-0.82,0
1,0,1,3,0,0,1,12,29,0,0,0,2,-0.94,0.62,0
1,0,2,5,1,0,0,5,30,0,0,0,0,0.48,-0.55,0
2,0,2,2,2,0,0,4,22,0,0,0,0,1.03,0.01,1
1,0,1,2,0,0,0,5,16,0,0,0,1,-0.95,0.95,0
2,0,0,4,0,0,1,11,11,0,0,0,1,-0.4,-1.41,0
2,0,1,0,1,0,0,6,13,0,0,0,2,-0.87,-0.52,0
2,0,1,3,0,0,0,5,19,0,0,0,1,0.19,0.93,0
2,0,0,1,1,0,0,7,28,0,0,0,1,0.67,-0.35,0
2,0,1,2,0,0,0,12,26,0,0,0,2,0.4,-0.38,0
2,0,1,4,0,0,1,4,20,0,0,0,0,-0.55,0.46,1
2,0,0,3,0,0,1,4,6,0,0,0,1,0.02,-0.2,0
2,2,0,1,0,1,2,9,2,0,0,0,1,-1,4.7,0
1,0,0,3,0,0,1,5,3,0,0,0,2,-0.79,0.44,0
1,0,0,2,0,0,0,6,24,0,0,0,0,1.31,-0.33,0
2,0,2,1,0,0,0,12,18,0,0,0,0,0.02,-0.95,0
2,0,0,3,0,0,1,10,5,0,0,0,2,-0.66,1.6,0
2,0,0,2,0,0,1,6,3,0,0,0,1,1.15,-0.25,0
2,0,0,2,0,0,1,4,15,0,0,0,0,-0.71,1.12,1
2,0,0,1,0,0,0,4,6,0,0,0,0,-0.36,-0.8,0
2,0,1,2,0,0,0,4,25,0,0,0,1,-0.12,-0.63,0
2,0,0,3,0,0,0,8,25,0,0,0,0,0.71,-0.18,0
2,0,1,0,1,0,0,11,14,0,0,0,2,-0.61,-0.55,0
2,0,1,1,0,1,0,8,29,0,0,0,1,-0.66,0.53,0
2,0,0,2,0,0,0,6,3,0,0,0,0,1.13,-0.18,1
2,0,2,3,0,0,1,10,25,0,0,0,0,-0.61,-0.95,0
2,0,1,4,0,0,1,3,9,0,0,0,1,-0.8,0.34,0
3,0,1,1,0,0,1,12,31,0,0,0,0,2.22,0.49,0
2,0,1,2,0,0,0,6,27,0,0,0,1,-0.25,0.19,0
3,0,2,5,0,0,1,6,28,0,0,0,2,0.86,0.49,1
2,0,0,5,0,0,0,3,29,0,0,0,1,-0.46,-0.95,0
2,2,0,2,0,0,2,4,1,0,0,0,0,-0.02,1.65,1
2,0,0,5,0,0,1,10,11,0,0,0,0,0.53,0.82,1
2,0,2,0,1,0,0,12,25,0,0,0,2,-0.78,-0.55,0
2,0,1,4,0,0,1,3,14,0,0,0,0,-0.54,-0.21,0
2,0,1,2,0,1,1,3,4,0,0,0,1,-0.46,-0.23,0
1,0,1,0,0,0,0,10,17,0,0,0,2,-1.01,1.36,0
2,0,2,3,1,0,0,9,4,0,0,0,1,1.36,-0.3,0
1,0,0,2,0,0,0,6,15,0,0,0,0,1.26,0.75,1
2,0,0,1,1,0,0,12,10,1,0,5,0,-0.82,-0.33,0
2,0,0,3,0,0,4,8,9,0,0,0,0,0.75,0.24,0
2,0,1,3,1,0,0,5,5,0,0,0,1,0.31,-0.13,0
2,0,1,2,0,1,0,3,18,0,0,0,0,-0.2,-0.01,0
2,0,2,1,0,0,1,4,9,0,0,0,1,-0.14,0.31,0
2,0,0,1,0,0,1,5,19,0,0,0,1,0.09,1.35,0
2,0,2,5,0,0,0,8,30,0,0,0,0,1.05,0.18,1
2,1,0,2,0,1,0,8,4,0,0,0,2,0.6,0.76,0
2,0,0,2,2,0,0,8,18,0,0,0,1,2.86,0.28,1
2,0,0,4,0,0,0,4,13,0,0,0,1,0.41,-0.46,0
2,0,0,3,0,0,0,11,17,0,0,0,1,-0.66,-0.92,0
2,2,1,3,0,0,2,12,22,0,0,0,0,-0.66,1.58,0
2,0,1,0,1,0,0,10,23,0,0,0,2,1.27,-0.63,0
3,0,1,2,0,0,1,5,13,0,0,0,2,-0.36,1.65,0
1,0,0,4,0,0,0,12,13,0,0,0,2,-0.36,-0.96,0
2,0,0,1,0,0,0,10,31,0,0,0,1,-0.83,-0.33,0
2,0,0,3,0,0,0,10,8,0,0,0,1,-0.73,0.04,0
2,0,0,3,0,0,0,2,16,0,0,0,0,-0.93,-1.29,0
2,0,1,4,0,1,0,11,2,0,0,0,0,-0.9,-0.7,0
2,0,1,3,0,0,1,9,21,0,0,0,1,-1.02,1.52,0
2,0,0,1,1,0,0,6,30,0,0,0,1,-0.88,-0.13,0
2,0,2,1,0,0,0,9,5,0,0,0,3,-0.63,-0.35,0
2,0,0,2,0,0,0,9,30,0,0,0,2,1.19,0.37,1
2,0,1,0,1,0,0,6,27,0,0,0,1,-1.01,0.65,0
2,0,0,3,1,0,0,6,16,0,0,0,2,0.46,0.32,0
2,0,2,3,0,0,0,6,30,0,0,0,1,-0.54,0.37,0
2,2,2,2,0,0,3,6,26,0,0,0,1,0.39,2.42,1
3,0,2,2,0,1,1,8,13,0,0,0,1,0.47,1.54,0
3,0,2,5,0,0,1,4,22,0,0,0,0,-0.54,0.93,1
2,1,2,5,0,0,0,11,12,0,0,0,3,0.25,-0.09,0
2,0,2,3,0,0,0,11,14,0,0,0,1,-1,-0.09,0
2,0,0,3,0,0,0,9,1,0,0,0,1,2.83,0.01,1
2,0,0,2,2,0,0,9,16,0,0,0,0,2.45,-1.46,0
2,0,1,3,0,0,0,3,10,0,0,0,0,-0.2,-0.98,1
2,0,0,3,0,0,0,5,5,0,0,0,0,0.77,-0.01,0
3,0,2,0,0,0,1,4,24,0,0,0,2,-0.2,0.85,0
2,0,0,2,0,0,0,3,30,0,0,0,0,-0.66,-0.63,0
1,0,0,1,0,0,0,11,3,0,0,0,1,-0.85,0.19,1
2,2,0,2,0,0,2,10,14,0,0,0,0,0.31,2.62,1
1,0,2,3,0,0,0,6,5,0,0,0,0,0.4,0.13,0
2,0,1,4,0,0,1,7,13,0,0,0,1,0.01,-0.44,0
2,0,0,2,1,0,0,10,20,0,0,0,2,-1.01,0.9,0
1,0,1,2,0,0,0,10,17,0,0,0,2,-0.72,0.72,0
2,0,2,4,1,0,0,12,28,0,0,0,2,2.49,-1.09,1
2,0,1,4,0,0,1,10,19,0,0,0,0,-0.68,-0.95,0
1,0,0,4,1,0,0,3,29,0,0,0,0,-0.05,-1.04,0
2,0,0,1,0,0,1,10,9,0,0,0,2,-0.89,1.52,0
2,1,1,0,0,0,0,7,25,0,0,0,2,0.94,0.49,1
2,0,2,5,0,0,0,6,28,0,0,0,2,0.86,-0.46,0
1,0,2,2,0,0,0,5,22,0,0,0,0,-0.03,0.12,0
3,0,2,4,0,0,1,4,15,0,0,0,0,-0.7,1.14,1
1,0,1,2,0,0,0,5,9,0,0,0,0,-0.87,-0.49,0
2,0,0,2,0,0,0,6,17,0,0,0,0,1.95,-0.95,1
2,0,0,2,0,0,0,11,18,0,0,0,1,-0.89,0.16,1
2,0,2,2,0,0,0,10,30,0,0,0,2,2.21,-0.59,0
2,0,1,0,0,0,0,3,28,0,0,0,1,-0.55,0.37,0
2,0,0,4,1,0,0,5,4,0,0,0,1,0.34,-0.13,0
2,0,1,2,1,0,0,4,8,0,0,0,1,0.05,-1.45,0
2,0,0,1,0,0,0,6,8,0,0,0,0,-0.34,0.44,0
2,0,2,3,0,0,1,4,7,0,0,0,0,-0.14,0.04,1
2,0,1,1,0,0,0,5,2,0,0,0,1,-0.05,0.65,0
2,0,0,3,0,0,1,9,29,0,0,0,2,0.56,1.04,1
2,0,1,3,1,0,0,4,4,0,0,0,1,-0.19,-0.77,0
2,0,0,2,2,0,0,7,17,0,0,0,0,2.29,0.1,1
2,0,0,1,2,0,0,4,6,0,0,0,0,-0.36,-0.06,0
1,0,0,3,0,0,0,11,1,1,1,5,1,-0.97,-1.26,0
2,0,0,3,0,0,1,5,24,0,0,0,0,0.15,1.07,0
2,0,0,3,0,0,0,2,17,0,0,0,0,-0.49,-0.95,0
2,0,0,1,1,0,0,4,14,0,0,0,0,-0.65,-0.35,1
2,0,1,0,1,0,0,6,5,0,0,0,0,-1.02,0.1,0
2,0,2,2,0,0,0,11,12,0,0,0,2,-0.27,-0.02,0
2,0,2,2,0,0,1,4,17,0,0,0,1,0.02,0.07,0
3,0,2,2,0,0,5,10,7,0,0,0,1,-0.99,3.39,0
2,0,1,1,1,0,0,8,1,0,0,0,1,1.37,-0.63,0
2,0,0,2,0,0,0,7,12,0,0,0,2,0.71,-0.01,0
2,0,0,2,0,0,1,6,15,0,0,0,0,-0.93,1.55,1
1,0,0,2,0,0,0,11,16,0,0,0,1,-0.87,-1.01,0
2,0,1,2,0,0,0,9,19,0,0,0,0,2.38,0.13,1
