no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,booking_status,lead_time,avg_price_per_room
1,0,2,1,0,0,0,2,28,0,0,0,0,1,-1.011391402953843,-1.413298146640824
2,0,0,2,0,0,0,5,20,0,0,0,0,1,1.539800339196921,-0.17856630907480012
2,0,1,1,1,0,0,4,11,0,0,0,0,1,-0.4404103939962912,-0.3483419367401284
2,0,0,2,2,0,0,9,13,0,0,0,1,1,3.179852173436698,0.28445813001245895
2,0,2,1,1,0,0,11,26,0,4,0,0,1,-0.6590839718949282,-0.5489858603446073
1,0,2,0,0,0,0,11,20,0,0,0,2,1,0.13057061496126077,-0.4872492684663061
2,0,0,2,2,0,0,6,15,0,0,0,1,1,2.086484283943513,0.28445813001245895
2,0,2,2,0,0,0,10,30,0,6,0,0,1,0.1791647433831801,-1.2589566669450711
2,0,2,2,0,0,0,10,30,0,0,0,0,1,0.1791647433831801,-1.2589566669450711
1,0,0,2,0,0,1,5,19,0,0,0,0,1,-0.9992428708483634,0.1301166503167059
1,0,2,1,0,0,0,6,19,0,1,0,0,1,-0.6104898434730088,-0.7650639319186615
2,0,2,3,1,0,0,11,19,0,0,0,0,1,1.977147494994195,-1.2975420368690094
2,0,2,1,0,0,1,7,30,0,0,0,1,1,1.2360870365599252,0.49436254239868294
2,0,1,1,1,0,0,6,27,0,0,0,1,1,-0.52545011873465,-0.23721607135918643
2,0,2,2,2,0,0,4,22,0,0,0,0,1,1.0295619907667681,0.006643466560103507
2,0,1,4,0,0,1,4,20,0,6,0,0,1,-0.5497471829456096,0.4573205872717021
2,0,0,2,0,0,1,4,15,0,0,0,0,1,-0.7076781003168475,1.1179021203695252
2,0,0,2,0,0,0,6,3,0,0,0,0,1,1.1267502476106068,-0.17856630907480012
3,0,2,5,0,0,1,6,28,0,2,0,2,1,0.8594825412900505,0.4866454684138953
2,2,0,2,0,0,2,4,1,0,0,0,0,1,-0.01521177030449718,1.651923640116831
2,0,0,5,0,0,1,10,11,0,0,0,0,1,0.5314721744420952,0.8184796497597647
1,0,0,2,0,0,0,6,15,0,0,0,0,1,1.260384100770885,0.747482569099718
2,0,2,5,0,0,0,8,30,0,5,0,0,1,1.0538590549777278,0.17919724085995548
2,0,0,2,2,0,0,8,18,0,0,0,1,1,2.8639903386942223,0.28445813001245895
2,0,0,2,0,0,0,9,30,0,0,0,2,1,1.187492908138006,0.3739761882359959
2,2,2,2,0,0,3,6,26,0,0,0,1,1,0.38568978917633717,2.4217789408392467
3,0,2,5,0,0,1,4,22,0,7,0,0,1,-0.5375986508401298,0.9252839537092251
2,0,0,3,0,0,0,9,1,0,0,0,1,1,2.827544742377783,0.012817125747933715
2,0,1,3,0,0,0,3,10,0,0,0,0,1,-0.19743975188669463,-0.9826854182896732
1,0,0,1,0,0,0,11,3,0,0,0,1,1,-0.8534604855826055,0.19185324219500713
2,2,0,2,0,0,2,10,14,0,3,0,0,1,0.3127985965434582,2.624274962200075
2,0,2,4,1,0,0,12,28,0,0,0,2,1,2.487385843424348,-1.0876376244827854
2,1,1,0,0,0,0,7,25,0,0,0,2,1,0.9445222660284094,0.48510205361693787
3,0,2,4,0,0,1,4,15,0,0,0,0,1,-0.6955295682113677,1.1401272934457136
2,0,0,2,0,0,0,6,17,0,6,0,0,1,1.9528504307832353,-0.9502737075535652
2,0,0,2,0,0,0,11,18,0,0,0,1,1,-0.889906081899045,0.16098494625585652
2,0,2,3,0,0,1,4,7,0,0,0,0,1,-0.13669709135929548,0.040598592093168996
2,0,0,3,0,0,1,9,29,0,0,0,2,1,0.5557692386530548,1.0407313805216487
2,0,0,2,2,0,0,7,17,0,0,0,0,1,2.2930093297366705,0.09924835437755532
2,0,0,1,1,0,0,4,14,0,4,0,0,1,-0.6469354397894483,-0.3483419367401284
2,0,0,2,0,0,1,6,15,0,0,0,0,1,-0.9263516782154844,1.5500582635176336
